#Record,Start hour, Dem,Win,Sol,AirTemp,W6,,,
1,0,28242.7,8198.98,0,6.3,0.591984116,,,
2,0.5,28901.05,8087.58,0,6.3,0.583940794,,,
3,1,28657.68,8225.48,0,6.5,0.593897473,,,
4,1.5,27512.6,8363.48,0,6.6,0.603861372,,,
5,2,26367.52,8321.02,0,7.1,0.600795668,,,
6,2.5,25832.45,8278.66,0,6.7,0.597737184,,,
7,3,24799.7,8325.25,0,7.5,0.601101083,,,
8,3.5,23732.46,8371.96,0,7.2,0.604473646,,,
9,4,22929.33,8082.35,0,7.9,0.583563177,,,
10,4.5,22599.23,7792.84,0,7.7,0.562659928,,,
11,5,22333.18,7723.67,0,8.3,0.557665704,,,
12,5.5,22295.77,7654.6,0,8.2,0.5526787,,,
13,6,22724.5,8012.9,0,8.7,0.578548736,,,
14,6.5,23036.94,8371.31,0,8.6,0.604426715,,,
15,7,23344.45,8264.28,0,8.8,0.596698917,,,
16,7.5,23201.59,8157.36,0,8.6,0.588979061,,,
17,8,23651.02,8237.35,9.38,9.6,0.594754513,,,
18,8.5,24602.07,8317.44,18.76,9.2,0.600537184,,,
19,9,25979.84,8718.01,53.59,9.8,0.629459206,,,
20,9.5,27434.49,9118.67,88.42,9.7,0.658387726,,,
21,10,29002.48,9365.6,142,9.9,0.676216606,,,
22,10.5,30196.96,9612.65,196.91,10,0.694054152,,,
23,11,31395.39,10300.34,227.71,10.4,0.743706859,,,
24,11.5,32354.35,10988.15,259.85,10.3,0.793368231,,,
25,12,33175.34,11108.14,263.85,10.7,0.802031769,,,
26,12.5,33567.63,11228.28,266.52,10.5,0.810706137,,, 
27,13,33661.31,11450.66,239.72,10.9,0.826762455,,,
28,13.5,33653.48,11673.19,212.93,10.9,0.842829603,,,
29,14,33652.55,11501.57,175.43,11,0.830438267,,,
30,14.5,33677.24,11330.09,136.58,11,0.81805704,,,
31,15,34007.45,11623.69,92.39,10.9,0.839255596,,,
32,15.5,34719.05,11917.43,48.2,11,0.86046426,,,
33,16,36208.24,11981.75,24.1,10.8,0.865108303,,,
34,16.5,37518.07,12046.22,1.34,11,0.869763177,,,
35,17,38054.26,11896.86,0,10.4,0.858979061,,,
36,17.5,37610.83,11747.66,0,10.5,0.848206498,,,
37,18,36931.86,12021.19,0,10.7,0.867955957,,,
38,18.5,36112.94,12294.88,0,10.5,0.887716968,,,
39,19,35152.11,12250.13,0,10.9,0.884485921,,,
40,19.5,34388.37,12205.53,0,10.9,0.881265704,,,
41,20,33492.57,12158.56,0,10.7,0.877874368,,,
42,20.5,32227.19,12111.74,0,10.7,0.874493863,,,
43,21,30920.42,12267.3,0,10.9,0.885725632,,,
44,21.5,29719.09,12423.01,0,10.8,0.896968231,,,
45,22,28582.81,12498.44,0,11.2,0.90241444,,,
46,22.5,27642.64,12574.02,0,11,0.90787148,,,
47,23,25935.72,12620.51,0,11.1,0.911228159,,,
48,23.5,24957.11,12667.16,0,11.2,0.91459639,,,
49,24,24773.83,12502.24,0,11.3,0.902688809,,,
50,24.5,24886.23,12479.9,0,11,0.901075812,,,
51,25,24460.51,12392.87,0,10.3,0.894792058,,,
52,25.5,23802.2,12306,0,11,0.888519856,,,
53,26,23190.21,12129.98,0,9.2,0.87581083,,,
54,26.5,23134.07,11954.1,0,9.7,0.863111913,,,
55,27,22439.28,12025.07,0,8.2,0.868236101,,,
