wind ,Efficiency,VarOM,FixOM,CAPEX,Life,capacity,period,W1,W2,W3,W4,W5,W6
1,1,0,42540,3700000,25,9622.95,1,0.251297,0.22078375,0.154882083,0.463466154,0.796488,0.591984116
2,1,0,42540,3700000,25,1022,2,0.256693364,0.22078375,0.154882083,0.463466154,0.796488,0.583940794
3,1,0,42540,3700000,25,3618,3,0.262089727,0.1822775,0.145954167,0.444725385,0.79424,0.593897473
4,1,0,42540,3700000,25,7163.8,4,0.263016,0.1822775,0.145954167,0.444725385,0.79424,0.603861372
5,1,0,42540,3700000,25,1811,5,0.263942273,0.13103825,0.1285875,0.40811,0.804004,0.600795668
,,,,,,,6,0.264393909,0.13103825,0.1285875,0.40811,0.804004,0.597737184
,,,,,,,7,0.264845545,0.0898705,0.108881667,0.376680769,0.809264,0.601101083
,,,,,,,8,0.264872682,0.0898705,0.108881667,0.376680769,0.809264,0.604473646
,,,,,,,9,0.264899818,0.0585,0.09226625,0.345165,0.815804,0.583563177
,,,,,,,10,0.267634545,0.0585,0.09226625,0.345165,0.815804,0.562659928
,,,,,,,11,0.270369273,0.04064125,0.0746275,0.317167692,0.817462,0.557665704
,,,,,,,12,0.272796364,0.04064125,0.0746275,0.317167692,0.817462,0.5526787
,,,,,,,13,0.275223455,0.027165,0.063420833,0.298319615,0.817245,0.578548736
,,,,,,,14,0.276313409,0.027165,0.063420833,0.298319615,0.817245,0.604426715
,,,,,,,15,0.277403364,0.016875,0.060580667,0.270357692,0.79047,0.596698917
,,,,,,,16,0.281297773,0.016875,0.060580667,0.270357692,0.79047,0.588979061
,,,,,,,17,0.285192182,0.01212,0.062636417,0.227825385,0.723894,0.594754513
,,,,,,,18,0.292574909,0.01212,0.062636417,0.227825385,0.723894,0.600537184
,,,,,,,19,0.299957636,0.01399,0.082812083,0.183228846,0.636996,0.629459206
,,,,,,,20,0.302547045,0.01399,0.082812083,0.183228846,0.636996,0.658387726
,,,,,,,21,0.305136455,0.02215,0.10543625,0.158742308,0.56696,0.676216606
,,,,,,,22,0.307267727,0.02215,0.10543625,0.158742308,0.56696,0.694054152
,,,,,,,23,0.309399,0.03109,0.126804167,0.135693885,0.494675,0.743706859
,,,,,,,24,0.313495318,0.03109,0.126804167,0.135693885,0.494675,0.793368231
,,,,,,,25,0.317591636,0.0419925,0.153932917,0.118125846,0.422075,0.802031769
,,,,,,,26,0.313500364,0.0419925,0.153932917,0.118125846,0.422075,0.810706137
,,,,,,,27,0.309409091,0.0517125,0.159300833,0.097179385,0.354444,0.826762455
,,,,,,,28,0.299583682,0.0517125,0.159300833,0.097179385,0.354444,0.842829603
,,,,,,,29,0.289758273,0.0554615,0.158812917,0.082296154,0.289452,0.830438267
,,,,,,,30,0.283948818,0.0554615,0.158812917,0.082296154,0.289452,0.81805704
,,,,,,,31,0.278139364,0.0628025,0.15031625,0.075433077,0.234286,0.839255596
,,,,,,,32,0.274874273,0.0628025,0.15031625,0.075433077,0.234286,0.86046426
,,,,,,,33,0.271609182,0.0685755,0.137382083,0.074586077,0.192652,0.865108303
,,,,,,,34,0.270792182,0.0685755,0.137382083,0.074586077,0.192652,0.869763177
,,,,,,,35,0.269975182,0.0673235,0.140164583,0.08223,0.170771,0.858979061
,,,,,,,36,0.273610909,0.0673235,0.140164583,0.08223,0.170771,0.848206498
,,,,,,,37,0.277246636,0.065954,0.132379583,0.097752692,0.154287,0.867955957
,,,,,,,38,0.265141909,0.065954,0.132379583,0.097752692,0.154287,0.887716968
,,,,,,,39,0.253037182,0.0574515,0.127521667,0.099778462,0.145044,0.884485921
,,,,,,,40,0.232591227,0.0574515,0.127521667,0.099778462,0.145044,0.881265704
